User;Name;Date;changes
Category;Category;Date[dd/MM/yyyy HH:mm];int
Popolon;Affaire_Réveillon;19/12/2005 10:25;53
Popolon;Affaire_Réveillon;19/12/2005 10:32;127
Popolon;Affaire_Réveillon;19/12/2005 10:51;40
Popolon;Affaire_Réveillon;19/12/2005 11:21;14
Idarvol;Coup_d'État_du_18_fructidor_an_V;20/12/2005 05:53;167
Richelieu;Club_de_Salm;21/12/2005 08:31;57
83.199.180.201;Affaire_Réveillon;23/12/2005 04:35;15
Yanik Crépeau;Bon_Albert_Briois_de_Beaumetz;25/12/2005 01:38;44
Richelieu;Bon_Albert_Briois_de_Beaumetz;25/12/2005 12:41;1703
Richelieu;Certificat_de_civisme;26/12/2005 01:32;579
Archeos;Certificat_de_civisme;26/12/2005 04:34;108
Kelson;Coup_d'État_du_18_fructidor_an_V;28/12/2005 07:45;5
81.65.169.145;Complot_de_l'Œillet;29/12/2005 07:28;13
81.65.169.145;Complot_de_l'Œillet;29/12/2005 07:30;13
81.65.169.145;Complot_de_l'Œillet;29/12/2005 07:35;5
Romanc19s;Coup_d'État_du_30_prairial_an_VII_(18_juin_1799);01/01/2006 08:39;82
GillesC;Bataille_de_Cholet;04/01/2006 09:24;23
GillesC;Bataille_de_Cholet;04/01/2006 09:25;11
Tython;Caroline_chérie_(1951);05/01/2006 10:09;38
Tython;Caroline_chérie_(1951);05/01/2006 10:22;2
Poildoiseau;Complot_de_Charenton;06/01/2006 05:37;24
PieRRoMaN;Citoyen_actif;09/01/2006 12:29;23
Phe;Affaire_Réveillon;13/01/2006 10:20;2
Marsyas;Bonnet_phrygien;14/01/2006 02:05;324
Manalfer;Coup_d'État_du_18_fructidor_an_V;18/01/2006 02:55;5
ZeroJanvier;Caroline_chérie_(1951);21/01/2006 03:03;0
Brozouf;Alexandre_François_Marie_de_Beauharnais;21/01/2006 09:42;16
Brozouf;Alexandre_François_Marie_de_Beauharnais;21/01/2006 09:43;6
Brozouf;Alexandre_François_Marie_de_Beauharnais;21/01/2006 09:58;10
Brozouf;Alexandre_François_Marie_de_Beauharnais;21/01/2006 09:59;48
Brozouf;Alexandre_François_Marie_de_Beauharnais;21/01/2006 10:02;49
Hashar;Bon_Albert_Briois_de_Beaumetz;22/01/2006 03:20;18
Phe;Affaire_Réveillon;22/01/2006 12:01;9
Phe;Affaire_Réveillon;22/01/2006 12:03;46
Probot;Alexandre_François_Marie_de_Beauharnais;24/01/2006 08:14;814
Probot;Bon_Albert_Briois_de_Beaumetz;24/01/2006 08:35;142
Probot;Bon_Albert_Briois_de_Beaumetz;24/01/2006 09:55;140
