1716536434.444451,9.5,34.3,4918173696
1716536434.7365952,9.4,34.2,4918173696
1716536439.9419546,9.1,34.2,4918173696
1716536440.2733383,8.8,34.2,4918173696
1716536445.4646893,9.2,34.3,4918173696
1716536445.7555282,9.2,34.3,4918173696
1716536450.9526186,9.0,34.3,4918173696
1716536451.2843046,8.8,34.3,4918173696
1716536456.4813378,9.0,34.2,4918173696
1716536456.7735527,9.1,34.2,4918173696
1716536461.9734836,9.6,34.3,4918173696
1716536462.3027291,9.4,34.3,4918173696
1716536467.4978697,11.2,34.3,4918173696
1716536467.811901,11.9,34.4,4918173696
1716536473.0392783,10.0,31.0,4918173696
1716536473.314817,9.8,31.0,4918173696
